label,url,status,final_or_redirect,redirect_hops,title,canonical,robots,h1,x_robots_tag,hub_exact_href,assets,result,checked_timestamp,main_sha,production_sha_note,evidence
cond_จอมีเส้น,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/จอมีเส้น/,200,,0,รับซื้อโน๊ตบุ๊คจอมีเส้น ประเมินตำหนิจอพร้อมสเปกเครื่อง | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/จอมีเส้น/,,รับซื้อโน๊ตบุ๊คจอมีเส้น ส่งรูปจอตอนเปิดเครื่องเพื่อประเมิน,,False,size=46515,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
cond_บานพับแตก,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/บานพับแตก/,200,,0,รับซื้อโน๊ตบุ๊คบานพับแตก ประเมินโครงสร้างและสภาพรวม | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/บานพับแตก/,,รับซื้อโน๊ตบุ๊คบานพับแตก แจ้งตำแหน่งรอยและรุ่นเพื่อประเมิน,,False,size=50406,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
cond_พอร์ต-usb-เสีย,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/พอร์ต-usb-เสีย/,200,,0,รับซื้อโน๊ตบุ๊คพอร์ต USB เสีย ประเมินตามพอร์ตและรุ่น | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/พอร์ต-usb-เสีย/,,รับซื้อโน๊ตบุ๊คพอร์ต USB เสีย ส่งรายละเอียดพอร์ตและสเปกเพื่อประเมิน,,False,size=45703,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
cond_ร้อนจัดดับเอง,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ร้อนจัดดับเอง/,200,,0,รับซื้อโน๊ตบุ๊คร้อนจัดดับเอง ประเมินอาการระบายความร้อน | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ร้อนจัดดับเอง/,,รับซื้อโน๊ตบุ๊คร้อนจัดดับเอง แจ้งอาการและความถี่เพื่อประเมินเบื้องต้น,,False,size=58633,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
cond_ลำโพงเสีย,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ลำโพงเสีย/,200,,0,รับซื้อโน๊ตบุ๊คลำโพงเสีย ประเมินตามอาการเสียงและรุ่น | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ลำโพงเสีย/,,รับซื้อโน๊ตบุ๊คลำโพงเสีย แจ้งอาการเสียงและสเปกเพื่อประเมิน,,False,size=45541,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
cond_กล้องเสีย,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/กล้องเสีย/,200,,0,รับซื้อโน๊ตบุ๊คกล้องเสีย ประเมินตามรุ่นและอุปกรณ์อื่นที่ครบ | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/กล้องเสีย/,,รับซื้อโน๊ตบุ๊คกล้องเสีย ส่งข้อมูลรุ่นและอาการเพื่อประเมิน,,False,size=45879,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
cond_ทัชแพดเสีย,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ทัชแพดเสีย/,200,,0,รับซื้อโน๊ตบุ๊คทัชแพดเสีย ประเมินอาการชี้ตำแหน่งและรุ่น | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ทัชแพดเสีย/,,รับซื้อโน๊ตบุ๊คทัชแพดเสีย แจ้งอาการทัชแพดและสเปกเพื่อประเมิน,,False,size=46025,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
cond_wifi-ไม่ติด,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/wifi-ไม่ติด/,200,,0,รับซื้อโน๊ตบุ๊ค WiFi ไม่ติด ประเมินอาการเครือข่ายและรุ่น | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/wifi-ไม่ติด/,,รับซื้อโน๊ตบุ๊ค WiFi ไม่ติด แจ้งอาการเชื่อมต่อและรุ่นเพื่อประเมิน,,False,size=45775,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
cond_เครื่องเก่า,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/เครื่องเก่า/,200,,0,รับซื้อโน๊ตบุ๊คเครื่องเก่า ประเมินตามสเปกและสภาพการใช้งาน | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/เครื่องเก่า/,,รับซื้อโน๊ตบุ๊คเครื่องเก่า ส่งรุ่น สเปก และสภาพเพื่อประเมินเบื้องต้น,,False,size=47783,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
cond_ตกรุ่น,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ตกรุ่น/,200,,0,รับซื้อโน๊ตบุ๊คตกรุ่น ประเมินมูลค่าตามตลาดมือสองจริง | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ตกรุ่น/,,รับซื้อโน๊ตบุ๊คตกรุ่น แจ้งรุ่นปีและสภาพเพื่อประเมินตามความต้องการตลาด,,False,size=47582,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
